PRODUCE,COST PER POUND,POUNDS SOLD
Grapes,2.63,16.2
Ginger,5.13,1.5
Grapefruit,0.76,39.7
Daikon,1.4,18.1
Corn,1.07,38.6
Daikon,1.4,29.9
Orange,1.09,0.9
Eggplant,2.32,39
Brussels sprouts,1.65,34
Ginger,5.13,4.6
Coconuts,1.18,10.9
Lettuce,1.88,16.7
Carrots,1.26,29.7
Orange,1.09,37.2
Parsnips,2.27,19.8
Yellow peppers,2.87,33.4
Avocados,3.23,40
Coconuts,1.18,5.1
Beets,1.51,6.1
Celery,3.07,0.5
Green beans,2.52,27.4
Butternut squash,1.28,24.8
Asparagus,2.49,21.4
Fava beans,2.69,14.7
Green cabbage,0.8,35.1
Apples,1.88,26.7
Lettuce,1.88,22.6
Bananas,0.86,29.2
Red onion,0.78,17.4
Parsnips,2.27,10.5
Carrots,1.26,12.7
Lemon,1.29,26.7
Parsnips,2.27,3.2
Ginger,5.13,16.8
Daikon,1.4,17.6
Butternut squash,1.28,30.5
Strawberries,4.4,23.4
Asparagus,2.49,16.6
Celery,3.07,29.6
Spinach,4.12,27.2
Green beans,2.52,24.3
Yellow peppers,2.87,37.4
Lettuce,1.88,25.1
Green beans,2.52,28.1
Asparagus,2.49,7.7
Apples,1.88,11.2
Eggplant,2.32,16
Potatoes,0.86,13.4
Fava beans,2.69,22.2
Watermelon,0.66,7.7
Butternut squash,1.28,8.5
Spinach,4.12,14.1
Yellow peppers,2.87,33.6
Green beans,2.52,22.4
Cucumber,1.07,30.4
Grapefruit,0.76,21.5
Orange,1.09,18.5
Lettuce,1.88,36.5
Eggplant,2.32,14.4
Eggplant,2.32,36.8
Apples,1.88,24.2
Tomatoes,3.16,0.6
Yellow peppers,2.87,9
Fava beans,2.69,21
Cucumber,1.07,25.2
Brussels sprouts,1.65,20.5
Kale,5.02,3.6
Red onion,0.78,11.2
Carrots,1.26,39.4
Tomatoes,3.16,22.1
Green beans,2.52,10.6
Green cabbage,0.8,14.9
Fava beans,2.69,10.1
Green beans,2.52,4.6
Parsnips,2.27,34.3
Orange,1.09,5.1
Coconuts,1.18,15.5
Papaya,1.34,7.3
Lime,1.06,33.5
Potatoes,0.86,23.4
Grapefruit,0.76,35
Yellow peppers,2.87,28.2
Apples,1.88,9.1
Red onion,0.78,39.6
Beets,1.51,1.2
Grapes,2.63,4
Beets,1.51,0.7
Strawberries,4.4,11
Strawberries,4.4,14.4
Eggplant,2.32,14.8
Yellow peppers,2.87,18.8
Yellow peppers,2.87,30.1
Daikon,1.4,6.3
Cucumber,1.07,3.3
Bananas,0.86,24
Butternut squash,1.28,4.8
Tomatoes,3.16,21.3
Bok choy,1.42,18.4
Papaya,1.34,30.2
Beets,1.51,29.9
Garlic,1.19,35.8
Avocados,3.23,21.2
Corn,1.07,1.3
Lettuce,1.88,31.9
Apricots,3.71,30.4
Butternut squash,1.28,13.4
Green peppers,1.89,27.7
Grapes,2.63,29.2
Bok choy,1.42,18.7
Orange,1.09,35.6
Papaya,1.34,23.2
Okra,2.26,22.5
Yellow peppers,2.87,4
Daikon,1.4,25.2
Papaya,1.34,10.7
Daikon,1.4,28.6
Brussels sprouts,1.65,32.8
Butternut squash,1.28,32.8
Watermelon,0.66,11.7
Carrots,1.26,1.4
Bananas,0.86,28.6
Yellow peppers,2.87,26
Orange,1.09,24.9
Celery,3.07,35.3
Apples,1.88,34.6
Potatoes,0.86,36.6
Garlic,1.19,21.5
Celery,3.07,32.6
Lime,1.06,6.6
Watermelon,0.66,7.3
Lemon,1.29,32.2
Ginger,5.13,2.3
Orange,1.09,11.1
Grapes,2.63,5.2
Daikon,1.4,37.6
Potatoes,0.86,36.4
Green cabbage,0.8,39.2
Carrots,1.26,35.1
Yellow peppers,2.87,7.8
Papaya,1.34,27.2
Yellow peppers,2.87,2.8
Fava beans,2.69,18.1
Kale,5.02,25.2
Fava beans,2.69,37.7
Tomatoes,3.16,2.2
Lemon,1.29,34.3
Fava beans,2.69,2.8
Corn,1.07,37.3
Ginger,5.13,39.5
Carrots,1.26,39.7
Beets,1.51,4.8
Carrots,1.26,16.5
Apples,1.88,25.3
Cherries,9.5,11.3
Lettuce,1.88,30.6
Eggplant,2.32,34.1
Lime,1.06,28.4
Strawberries,4.4,6.4
Daikon,1.4,25.8
Cherries,9.5,16
Ginger,5.13,27.7
Papaya,1.34,34.5
Corn,1.07,4.5
Carrots,1.26,17.7
Apricots,3.71,32.4
Yellow peppers,2.87,25.8
Orange,1.09,11.3
Daikon,1.4,28.3
Apricots,3.71,7.8
Potatoes,0.86,26.3
Spinach,4.12,31.4
Spinach,4.12,32
Eggplant,2.32,39
Avocados,3.23,2.1
Asparagus,2.49,17.6
Corn,1.07,12.9
Lime,1.06,10.4
Watermelon,0.66,3.4
Apples,1.88,23.5
Kale,5.02,29.7
Lemon,1.29,15.6
Celery,3.07,24.5
Cucumber,1.07,2
Fava beans,2.69,10.8
Spinach,4.12,39.1
Grapes,2.63,13.6
Yellow peppers,2.87,16.4
Strawberries,4.4,37
Cherries,9.5,35.1
Apples,1.88,35.9
Bok choy,1.42,24
Strawberries,4.4,32.7
Lime,1.06,37.3
Lettuce,1.88,23.5
Grapes,2.63,36.1
Butternut squash,1.28,1.7
Okra,2.26,1.9
Green peppers,1.89,32
Corn,1.07,31.1
Okra,2.26,4.5
Apricots,3.71,4
Parsnips,2.27,18.2
Daikon,1.4,19.1
Papaya,1.34,11.7
Okra,2.26,11.5
Lettuce,1.88,18.6
Yellow peppers,2.87,26.1
Green beans,2.52,37.2
Butternut squash,1.28,25.7
Cucumber,1.07,7.5
Lettuce,1.88,14.9
Apples,1.88,12.3
Okra,2.26,9
Asparagus,2.49,17.9
Beets,1.51,33.1
Garlic,1.19,33.8
Cucumber,1.07,37.8
Green cabbage,0.8,20
Apricots,3.71,39.3
Daikon,1.4,4.9
Daikon,1.4,14.9
Bananas,0.86,31.2
Apricots,3.71,35.7
Strawberries,4.4,25.5
Spinach,4.12,24.1
Carrots,1.26,1.7
Lemon,1.29,17.5
Green peppers,1.89,28.8
Eggplant,2.32,26.8
Avocados,3.23,5.5
Bananas,0.86,34.4
Avocados,3.23,24.7
Lime,1.06,14.3
Celery,3.07,28.4
Strawberries,4.4,9.5
Bok choy,1.42,32.2
Celery,3.07,23.7
Apples,1.88,25.6
Bok choy,1.42,6.8
Bananas,0.86,23
Lemon,1.29,17.1
Asparagus,2.49,14.8
Brussels sprouts,1.65,16.2
Bananas,0.86,27.9
Green cabbage,0.8,28.7
Green peppers,1.89,26.7
Butternut squash,1.28,36.4
Potatoes,0.86,10.3
Strawberries,4.4,17.4
Lemon,1.29,23.9
Celery,3.07,8.8
Spinach,4.12,11.4
Parsnips,2.27,5
Avocados,3.23,29.4
Brussels sprouts,1.65,10.9
Lime,1.06,20.7
Papaya,1.34,20.9
Coconuts,1.18,7.1
Spinach,4.12,25.1
Orange,1.09,32.8
Carrots,1.26,6.8
Lemon,1.29,13.4
Lime,1.06,4.9
Kale,5.02,24.3
Beets,1.51,10.5
Asparagus,2.49,38.7
Corn,1.07,30.3
Parsnips,2.27,21.6
Ginger,5.13,37.5
Corn,1.07,28.1
Apricots,3.71,23
Lettuce,1.88,26.5
Potatoes,0.86,29.4
Garlic,1.19,7.3
Eggplant,2.32,7.2
Coconuts,1.18,30.1
Asparagus,2.49,16.8
Tomatoes,3.16,22.7
Papaya,1.34,11.1
Celery,3.07,11.6
Orange,1.09,36.3
Ginger,5.13,31
Potatoes,0.86,18.5
Parsnips,2.27,12.7
Yellow peppers,2.87,29.1
Grapefruit,0.76,20
Green peppers,1.89,27.3
Corn,1.07,14.4
Carrots,1.26,15.6
Eggplant,2.32,0.6
Coconuts,1.18,19.5
Green cabbage,0.8,38.7
Apples,1.88,9
Cherries,9.5,36
Brussels sprouts,1.65,33
Strawberries,4.4,7
Bok choy,1.42,21
Yellow peppers,2.87,12.2
Okra,2.26,5.3
Orange,1.09,29.9
Avocados,3.23,6.6
Spinach,4.12,2.8
Apricots,3.71,25.2
Coconuts,1.18,37.1
Grapes,2.63,14
Okra,2.26,9.3
Eggplant,2.32,31.4
Bok choy,1.42,18.4
Eggplant,2.32,14
Beets,1.51,2.9
Garlic,1.19,24.4
Kale,5.02,26.7
Lime,1.06,11.4
Avocados,3.23,33.8
Lime,1.06,31.7
Papaya,1.34,31.3
Lettuce,1.88,25.3
Red onion,0.78,24.9
Fava beans,2.69,6.7
Okra,2.26,5.5
Beets,1.51,24.2
Coconuts,1.18,29.3
Grapes,2.63,30.7
Ginger,5.13,35.8
Asparagus,2.49,7.6
Apples,1.88,10.9
Garlic,1.19,22.9
Corn,1.07,30.8
Potatoes,0.86,37.4
Apricots,3.71,36.4
Spinach,4.12,1.7
Grapefruit,0.76,35.6
Cucumber,1.07,31.5
Kale,5.02,36.9
Lemon,1.29,8.7
Green beans,2.52,21.1
Celery,3.07,34.3
Potatoes,0.86,27.3
Asparagus,2.49,15
Eggplant,2.32,24.7
Cucumber,1.07,31.3
Garlic,1.19,35.8
Carrots,1.26,11.9
Red onion,0.78,34.4
Lettuce,1.88,31.8
Apples,1.88,37.4
Yellow peppers,2.87,4.3
Bok choy,1.42,37.1
Apples,1.88,16.7
Orange,1.09,33.2
Bok choy,1.42,29.5
Lime,1.06,5.8
Celery,3.07,5.7
Brussels sprouts,1.65,6.8
Celery,3.07,34.9
Beets,1.51,39.1
Avocados,3.23,24.2
Yellow peppers,2.87,15.8
Cherries,9.5,17.4
Carrots,1.26,25.7
Daikon,1.4,30.9
Parsnips,2.27,35.6
Cherries,9.5,29
Celery,3.07,5.6
Kale,5.02,21.9
Okra,2.26,22.5
Lettuce,1.88,1
Carrots,1.26,16.6
Fava beans,2.69,2.3
Daikon,1.4,24.5
Fava beans,2.69,30.5
Yellow peppers,2.87,6.4
Carrots,1.26,10.8
Corn,1.07,38.7
Yellow peppers,2.87,7.3
Kale,5.02,2.3
Grapefruit,0.76,3
Apricots,3.71,15.1
Fava beans,2.69,18.9
Green peppers,1.89,33.5
Cherries,9.5,34.1
Orange,1.09,9.7
Spinach,4.12,21.3
Lime,1.06,18.2
Bok choy,1.42,39
Carrots,1.26,38.9
Red onion,0.78,22.5
Bananas,0.86,29.7
Beets,1.51,14.1
Grapes,2.63,28.5
Garlic,1.19,34.6
Lime,1.06,19.4
Spinach,4.12,19.8
Fava beans,2.69,9.9
Grapes,2.63,25.8
Beets,1.51,14.8
Cherries,9.5,34.7
Coconuts,1.18,10.8
Eggplant,2.32,7.1
Spinach,4.12,11
Grapes,2.63,4.8
Ginger,5.13,14.9
Apples,1.88,7.7
Tomatoes,3.16,35.4
Watermelon,0.66,5
Okra,2.26,17.9
Ginger,5.13,13
Papaya,1.34,10.1
Orange,1.09,4.6
Fava beans,2.69,34.5
Lime,1.06,25.2
Okra,2.26,29.3
Garlic,1.19,2.7
Brussels sprouts,1.65,29.2
Ginger,5.13,9.3
Avocados,3.23,2.5
Green beans,2.52,16.9
Strawberries,4.4,5.6
Yellow peppers,2.87,39.1
Grapes,2.63,5.4
Eggplant,2.32,16.6
Green beans,2.52,24.5
Grapefruit,0.76,23.5
Cherries,9.5,33.5
Beets,1.51,9.5
Beets,1.51,22.8
Butternut squash,1.28,7.5
Ginger,5.13,31.8
Carrots,1.26,24.2
Grapes,2.63,11.7
Carrots,1.26,34.4
Fava beans,2.69,33.8
Yellow peppers,2.87,15.2
Potatoes,0.86,7.4
Yellow peppers,2.87,19.8
Apricots,3.71,28.9
Cherries,9.5,4.5
Asparagus,2.49,21.5
Tomatoes,3.16,7
Fava beans,2.69,22.7
Coconuts,1.18,1.1
Yellow peppers,2.87,25.4
Grapes,2.63,1.8
Green peppers,1.89,23.6
Bananas,0.86,14.2
Bok choy,1.42,14.2
Green beans,2.52,31.5
Strawberries,4.4,23.3
Avocados,3.23,26.7
Eggplant,2.32,9.8
Daikon,1.4,10.1
Apples,1.88,19.4
Papaya,1.34,7.2
Cucumber,1.07,38.1
Butternut squash,1.28,9
Daikon,1.4,20.6
Papaya,1.34,26.1
Yellow peppers,2.87,34.9
Carrots,1.26,32.8
Parsnips,2.27,33.9
Yellow peppers,2.87,27.7
Garlic,1.19,0.5
Daikon,1.4,4.1
Cherries,9.5,26.3
Butternut squash,1.28,26.3
Green beans,2.52,17.5
Carrots,1.26,17.4
Papaya,1.34,9.6
Lettuce,1.88,22.6
Asparagus,2.49,1.7
Green peppers,1.89,5.4
Brussels sprouts,1.65,26.9
Green peppers,1.89,22.2
Okra,2.26,32.5
Green cabbage,0.8,34
Ginger,5.13,4.4
Cherries,9.5,30.5
Potatoes,0.86,37.1
Lemon,1.29,12.3
Orange,1.09,26.7
Butternut squash,1.28,37.7
Cucumber,1.07,39.1
Spinach,4.12,14.8
Lettuce,1.88,8.3
Orange,1.09,1.6
Daikon,1.4,25.1
Potatoes,0.86,4.4
Garlic,1.19,6.2
Garlic,1.19,23.6
Grapefruit,0.76,17.2
Lettuce,1.88,14.5
Potatoes,0.86,15.1
Lettuce,1.88,29.4
Asparagus,2.49,2.8
Avocados,3.23,20.8
Green beans,2.52,35.2
Butternut squash,1.28,20.4
Green beans,2.52,0.6
Cherries,9.5,39.4
Fava beans,2.69,10.2
Corn,1.07,9.5
Spinach,4.12,20.1
Daikon,1.4,4.3
Okra,2.26,25.7
Green cabbage,0.8,24.5
Fava beans,2.69,37.9
Watermelon,0.66,31.3
Cucumber,1.07,2.5
Red onion,0.78,6.8
Watermelon,0.66,14
Potatoes,0.86,32.1
Spinach,4.12,28.3
Daikon,1.4,36.7
Cherries,9.5,39.6
Red onion,0.78,21.6
Red onion,0.78,12.6
Carrots,1.26,33.7
Bananas,0.86,29.6
Orange,1.09,8.2
Daikon,1.4,4.2
Green cabbage,0.8,3.8
Eggplant,2.32,34.5
Fava beans,2.69,39
Lemon,1.29,34.1
Corn,1.07,38.7
Brussels sprouts,1.65,30.7
Grapes,2.63,24.4
Lemon,1.29,1.1
Yellow peppers,2.87,11.8
Orange,1.09,34.3
Coconuts,1.18,17.3
Orange,1.09,11.3
Bok choy,1.42,35.8
Green beans,2.52,3.3
Okra,2.26,11.8
Avocados,3.23,19.5
Lettuce,1.88,1.7
Ginger,5.13,0.9
Potatoes,0.86,15.6
Okra,2.26,13.8
Daikon,1.4,35.5
Apricots,3.71,6.9
Okra,2.26,31.2
Potatoes,0.86,28.5
Lemon,1.29,18.2
Apricots,3.71,17.1
Lemon,1.29,6.9
Cherries,9.5,9.3
Bananas,0.86,6.1
Butternut squash,1.28,36.9
Cucumber,1.07,31.1
Lettuce,1.88,23.5
Coconuts,1.18,11.3
Asparagus,2.49,33.7
Asparagus,2.49,2.3
Potatoes,0.86,39.3
Eggplant,2.32,39.5
Red onion,0.78,18.7
Bok choy,1.42,27.8
Yellow peppers,2.87,39.2
Grapefruit,0.76,17.6
Watermelon,0.66,8.5
Eggplant,2.32,12.1
Apricots,3.71,11.6
Asparagus,2.49,20.7
Carrots,1.26,6.4
Bananas,0.86,31.8
Yellow peppers,2.87,17.3
Asparagus,2.49,30.1
Garlic,1.19,11.4
Papaya,1.34,12.1
Cherries,9.5,18
Orange,1.09,29.1
Watermelon,0.66,7.7
Tomatoes,3.16,39.1
Watermelon,0.66,35.6
Grapefruit,0.76,13.6
Asparagus,2.49,14.8
Avocados,3.23,13.9
Okra,2.26,20.4
Spinach,4.12,15.2
Fava beans,2.69,14
Butternut squash,1.28,24.1
Kale,5.02,0.8
Papaya,1.34,18.1
Avocados,3.23,22.8
Garlic,1.19,3
Lettuce,1.88,7.6
Yellow peppers,2.87,26.8
Orange,1.09,10.5
Coconuts,1.18,35.1
Celery,3.07,4.9
Grapefruit,0.76,36.2
Asparagus,2.49,30.3
Grapefruit,0.76,2.2
Kale,5.02,23.8
Orange,1.09,6.8
Okra,2.26,22.4
Strawberries,4.4,24.8
Cucumber,1.07,38.2
Lime,1.06,7.3
Corn,1.07,8
Lime,1.06,2.9
Beets,1.51,25.3
Celery,3.07,39.6
Bok choy,1.42,21.5
Grapefruit,0.76,29.4
Bananas,0.86,20.7
Eggplant,2.32,16
Avocados,3.23,33
Brussels sprouts,1.65,32
Daikon,1.4,6.5
Tomatoes,3.16,7.1
Papaya,1.34,33.2
Lime,1.06,0.5
Bananas,0.86,6.6
Coconuts,1.18,21.1
Potatoes,0.86,23.5
Spinach,4.12,16.4
Kale,5.02,39.4
Celery,3.07,11.5
Corn,1.07,32
Fava beans,2.69,8.4
Beets,1.51,32
Yellow peppers,2.87,36.4
Butternut squash,1.28,14.4
Apples,1.88,19.4
Lemon,1.29,12.8
Apples,1.88,17.7
Garlic,1.19,7
Garlic,1.19,21
Fava beans,2.69,5.4
Kale,5.02,27.6
Garlic,1.19,19.4
Grapes,2.63,3.6
Strawberries,4.4,35
Corn,1.07,24.3
Bananas,0.86,13.5
Bananas,0.86,0.5
Lime,1.06,35.8
Avocados,3.23,8.6
Lettuce,1.88,15.5
Apples,1.88,12.1
Avocados,3.23,16.1
Avocados,3.23,12.1
Grapes,2.63,16.9
Coconuts,1.18,28.8
Green beans,2.52,18.7
Papaya,1.34,10.8
Apricots,3.71,0.7
Fava beans,2.69,31.8
Parsnips,2.27,6.7
Coconuts,1.18,23.4
Watermelon,0.66,10.8
Asparagus,2.49,39.5
Tomatoes,3.16,18.9
Avocados,3.23,11.7
Tomatoes,3.16,18.2
Brussels sprouts,1.65,31.8
Bok choy,1.42,38.5
Tomatoes,3.16,17.3
Strawberries,4.4,1.8
Garlic,1.19,24.5
Butternut squash,1.28,15.3
Avocados,3.23,29
Apples,1.88,29
Garlic,1.19,18
Butternut squash,1.28,14.5
Orange,1.09,3.9
Spinach,4.12,33.1
Okra,2.26,27.7
Cherries,9.5,37.9
Papaya,1.34,7.4
Lemon,1.29,15
Lettuce,1.88,23.5
Red onion,0.78,38.8
Parsnips,2.27,6.4
Kale,5.02,36.8
Papaya,1.34,0.5
Ginger,5.13,10.9
Ginger,5.13,28.9
Green peppers,1.89,29.5
Red onion,0.78,39.1
Parsnips,2.27,25.2
Lettuce,1.88,0.7
Celery,3.07,35.8
Apricots,3.71,33
Potatoes,0.86,38
Green beans,2.52,28.4
Carrots,1.26,13.6
Grapes,2.63,8.7
Brussels sprouts,1.65,7.5
Strawberries,4.4,31.8
Ginger,5.13,20.8
Papaya,1.34,31.5
Apricots,3.71,22.2
Brussels sprouts,1.65,33.6
Lettuce,1.88,6
Green cabbage,0.8,7
Potatoes,0.86,17.2
Green cabbage,0.8,24.1
Apricots,3.71,9.9
Red onion,0.78,0.9
Lime,1.06,28.8
Parsnips,2.27,7.7
Papaya,1.34,19.3
Lettuce,1.88,9.3
Lemon,1.29,1
Coconuts,1.18,36.9
Asparagus,2.49,35.1
Asparagus,2.49,34.4
Watermelon,0.66,25.6
Fava beans,2.69,28.3
Strawberries,4.4,8.4
Celery,3.07,10.6
Apricots,3.71,5
Cucumber,1.07,8.2
Green peppers,1.89,9
Corn,1.07,36.9
Papaya,1.34,32.2
Green cabbage,0.8,16.2
Kale,5.02,9.2
Potatoes,0.86,35
Beets,1.51,28.4
Parsnips,2.27,38.9
Green peppers,1.89,23.2
Orange,1.09,2.2
Watermelon,0.66,1.6
Asparagus,2.49,22.9
Corn,1.07,24.3
Green peppers,1.89,15.3
Celery,3.07,28.9
Coconuts,1.18,7.7
Grapes,2.63,31
Daikon,1.4,1.3
Carrots,1.26,27.2
Watermelon,0.66,20.1
Yellow peppers,2.87,34.9
Apricots,3.71,7.2
Lime,1.06,38.1
Ginger,5.13,8.2
Lemon,1.29,15.5
Red onion,0.78,4.2
Grapefruit,0.76,26.4
Lemon,1.29,32.7
Strawberries,4.4,19.3
Watermelon,0.66,20.6
Cucumber,1.07,36.1
Bok choy,1.42,19.9
Lemon,1.29,35
Brussels sprouts,1.65,11.4
Avocados,3.23,4.9
Kale,5.02,11.4
Kale,5.02,39.6
Papaya,1.34,31.6
Kale,5.02,4.3
Butternut squash,1.28,12.9
Cucumber,1.07,5.6
Lettuce,1.88,14.7
Celery,3.07,16.1
Okra,2.26,21.7
Fava beans,2.69,32.1
Grapes,2.63,18.1
Lemon,1.29,4.7
Yellow peppers,2.87,12.5
Kale,5.02,1.6
Red onion,0.78,15
Papaya,1.34,28.3
Grapes,2.63,11.1
Apples,1.88,32.7
Avocados,3.23,15.3
Bananas,0.86,27
Tomatoes,3.16,1.8
Carrots,1.26,23.7
Corn,1.07,17.4
Carrots,1.26,14.1
Butternut squash,1.28,18.5
Green peppers,1.89,8.6
Strawberries,4.4,37.1
Orange,1.09,2.1
Daikon,1.4,25.6
Red onion,0.78,8.1
Grapes,2.63,8.8
Corn,1.07,7.7
Lettuce,1.88,39.2
Kale,5.02,2.2
Green cabbage,0.8,18.1
Grapefruit,0.76,33.9
Cucumber,1.07,23.2
Yellow peppers,2.87,24.5
Watermelon,0.66,36.5
Beets,1.51,24.1
Avocados,3.23,12.6
Eggplant,2.32,22.5
Apricots,3.71,15.9
Fava beans,2.69,11.5
Grapes,2.63,33.6
Tomatoes,3.16,24.8
Avocados,3.23,37.6
Beets,1.51,8.8
Orange,1.09,14.6
Green beans,2.52,24
Grapes,2.63,28.5
Strawberries,4.4,19.6
Grapes,2.63,36.2
Lettuce,1.88,1.8
Tomatoes,3.16,15.9
Beets,1.51,7.3
Celery,3.07,35.2
Grapes,2.63,7.7
Grapefruit,0.76,26.4
Bok choy,1.42,26.5
Beets,1.51,37.1
Lemon,1.29,30.8
Cucumber,1.07,7.4
Grapefruit,0.76,0.6
Fava beans,2.69,37
Eggplant,2.32,32.9
Carrots,1.26,28.3
Cherries,9.5,33.1
Tomatoes,3.16,20.7
Tomatoes,3.16,20.4
Grapefruit,0.76,28.2
Lime,1.06,31.1
Coconuts,1.18,8.9
Cherries,9.5,1.2
Coconuts,1.18,7
Asparagus,2.49,28.3
Lemon,1.29,33.3
Apples,1.88,16.9
Corn,1.07,30.1
Tomatoes,3.16,39.3
Orange,1.09,19.4
Orange,1.09,35.1
Green peppers,1.89,32.1
Apricots,3.71,34.6
Yellow peppers,2.87,35.3
Avocados,3.23,39.4
Carrots,1.26,18.9
Bananas,0.86,25.1
Cherries,9.5,12
Tomatoes,3.16,25.5
Papaya,1.34,20.5
Garlic,1.19,20.4
Potatoes,0.86,11.1
Bok choy,1.42,30.2
Asparagus,2.49,36.7
Kale,5.02,9.5
Corn,1.07,5.1
Grapefruit,0.76,29.9
Beets,1.51,8.2
Watermelon,0.66,29.9
Green peppers,1.89,26.1
Potatoes,0.86,5.8
Okra,2.26,10.2
Carrots,1.26,23.8
Daikon,1.4,22.8
Lime,1.06,37.7
Cucumber,1.07,29.1
Butternut squash,1.28,6.1
Kale,5.02,11.9
Apples,1.88,11.6
Asparagus,2.49,13.2
Brussels sprouts,1.65,38.7
Eggplant,2.32,13.2
Celery,3.07,9.8
Strawberries,4.4,26.6
Green beans,2.52,13.3
Cucumber,1.07,13.2
Green beans,2.52,6.8
Green beans,2.52,8.6
Lettuce,1.88,8.7
Grapefruit,0.76,14.2
Watermelon,0.66,19
Carrots,1.26,2.2
Fava beans,2.69,10.1
Fava beans,2.69,7.9
Brussels sprouts,1.65,5.9
Green cabbage,0.8,20.8
Corn,1.07,24.8
Apricots,3.71,19.1
Butternut squash,1.28,31.1
Potatoes,0.86,5.6
Grapes,2.63,25.8
Grapefruit,0.76,28.6
Beets,1.51,12.6
Green peppers,1.89,4.3
Corn,1.07,32.3
Orange,1.09,34.6
Green beans,2.52,25.4
Watermelon,0.66,30.7
Apples,1.88,29.9
Celery,3.07,19.9
Red onion,0.78,35.1
Grapes,2.63,7
Strawberries,4.4,20.8
Garlic,1.19,0.8
Grapes,2.63,6.8
Lime,1.06,19.9
Beets,1.51,3.9
Apples,1.88,6.4
Lettuce,1.88,12.7
Green peppers,1.89,2.1
Cucumber,1.07,23
Daikon,1.4,23.9
Green cabbage,0.8,15
Green cabbage,0.8,9.7
Potatoes,0.86,21.1
Celery,3.07,16
Butternut squash,1.28,4.4
Green cabbage,0.8,11.8
Bananas,0.86,10.9
Carrots,1.26,6.8
Daikon,1.4,22.1
Okra,2.26,25.4
Yellow peppers,2.87,30.1
Green cabbage,0.8,11
Lime,1.06,8.6
Orange,1.09,27.6
Orange,1.09,35.3
Brussels sprouts,1.65,2.4
Avocados,3.23,14.5
Butternut squash,1.28,1.5
Kale,5.02,13.7
Asparagus,2.49,39.2
Garlic,1.19,27.6
Bok choy,1.42,23.6
Spinach,4.12,34.3
Coconuts,1.18,2.4
Fava beans,2.69,33.8
Bananas,0.86,32.5
Spinach,4.12,33.9
Cherries,9.5,31.6
Parsnips,2.27,2.3
Beets,1.51,13.8
Corn,1.07,27.8
Lettuce,1.88,0.5
Asparagus,2.49,34.4
Carrots,1.26,37.9
Beets,1.51,3.8
Coconuts,1.18,13.7
Daikon,1.4,7.1
